name,institution,city,country
Cheryl Hendricks,Institute for Justice and Reconci­liation (IJR),Cape Town,South Africa
Dirk A. Moses,City College of New York,New York City,United States
Orwa Ajjoub,Universität Malmö,Malmoe,Sweden
Anna Lisa Antonello,Università di Bologna,Bologna,Italy
Serena Bernstein,University of Chicago,Chicago,United States
Heidi Campana Piva,Universität Turin,Torino,Italy
Alexandra Homolar,University of Warwick,"Warwick, UK",United Kingdom
Tobias Ide,Murdoch University,Perth,Australia
Kathryn Langat,Intergovernmental Authority on Development (IGAD),Addis Abeba,Ethiopia
Julian Neef,University of Sussex,"Brighton, UK",United Kingdom
Marzena Oliveira Ribas,Université Libre de Bruxelles,Brussels,Belgium
Cornell Overfield,CNA,"Arlington, Virginia",United States
Federica Persico,Universität Genua,Genua,Italy
Meredith Whye,University of Wisconsin-Madison,"Madison, Wisconsin",United States
