name,institution,city,country
Juan Albarracín Dierolf,University of Illinois,Chicago,USA
Anja P. Jakobi,TU Braunschweig,Braunschweig,Deutschland
Jonah Schulhofer-Wohl,Universität Leiden,Leiden,Niederlande
Suparna Banerjee,Unabhängige Forscherin,Frankfurt,Deutschland
Nicole Doerr,University of Copenhagen,Copenhagen,Dänemark
Selma Kropp,European University Institute,Florence,Italien
Alex Kuehl,American University,Washington DC,USA
Thomas Lord,University of Canterbury,Christchurch,Neuseeland
Yury Terekhov,Unabhängiger Forscher,"Medford, US",USA
Skollan Elisabeth Warnck,Universität Leipzig,Leipzig,Deutschland
Yuan Xinyu,Geneva Graduate Institute,Geneva,Schweiz
